✓ Initialized. View run at 
https://modal.com/apps/sentra/main/ap-b0BaUF2jBlibzWOZ8yS5XU
✓ Created objects.
├── 🔨 Created mount /Users/sonia/Documents/GitHub/autoresearch/run_modal.py
├── 🔨 Created function setup_data.
└── 🔨 Created function run_training.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 50,331,648
  lm_head                 : 6,291,456
  transformer_matrices    : 56,623,872
  scalars                 : 16
  total                   : 119,538,448
Estimated FLOPs per token: 4.187796e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011235 | lrm: 1.00 | dt: 26115ms | tok/sec: 10,037 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.696670 | lrm: 1.00 | dt: 246ms | tok/sec: 1,065,226 | mfu: 45.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.028308 | lrm: 1.00 | dt: 249ms | tok/sec: 1,054,362 | mfu: 44.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.631957 | lrm: 1.00 | dt: 251ms | tok/sec: 1,042,620 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.314796 | lrm: 1.00 | dt: 275ms | tok/sec: 951,602 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.057652 | lrm: 1.00 | dt: 258ms | tok/sec: 1,015,974 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.840528 | lrm: 1.00 | dt: 251ms | tok/sec: 1,044,716 | mfu: 44.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.663519 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,118 | mfu: 44.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.516197 | lrm: 1.00 | dt: 268ms | tok/sec: 976,803 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.388761 | lrm: 1.00 | dt: 257ms | tok/sec: 1,019,534 | mfu: 43.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.282590 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,893 | mfu: 43.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.187866 | lrm: 1.00 | dt: 254ms | tok/sec: 1,030,745 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.096810 | lrm: 1.00 | dt: 265ms | tok/sec: 987,442 | mfu: 41.8% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.017780 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,838 | mfu: 42.4% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.943585 | lrm: 1.00 | dt: 256ms | tok/sec: 1,022,919 | mfu: 43.3% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 5.871509 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,924 | mfu: 42.5% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 5.803642 | lrm: 1.00 | dt: 263ms | tok/sec: 996,364 | mfu: 42.2% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 5.736539 | lrm: 0.99 | dt: 260ms | tok/sec: 1,009,564 | mfu: 42.7% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.674031 | lrm: 0.99 | dt: 257ms | tok/sec: 1,018,716 | mfu: 43.1% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.612612 | lrm: 0.99 | dt: 258ms | tok/sec: 1,016,411 | mfu: 43.0% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 5.552671 | lrm: 0.99 | dt: 264ms | tok/sec: 991,605 | mfu: 42.0% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 5.495505 | lrm: 0.99 | dt: 260ms | tok/sec: 1,009,585 | mfu: 42.7% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 5.442136 | lrm: 0.99 | dt: 258ms | tok/sec: 1,015,518 | mfu: 43.0% | epoch: 1 | remaining: 297s    
step 00023 (1.0%) | loss: 5.391305 | lrm: 0.99 | dt: 261ms | tok/sec: 1,005,095 | mfu: 42.5% | epoch: 1 | remaining: 297s    
step 00024 (1.1%) | loss: 5.341509 | lrm: 0.99 | dt: 260ms | tok/sec: 1,008,631 | mfu: 42.7% | epoch: 1 | remaining: 296s    
step 00025 (1.2%) | loss: 5.293421 | lrm: 0.99 | dt: 259ms | tok/sec: 1,013,732 | mfu: 42.9% | epoch: 1 | remaining: 296s    
step 00026 (1.3%) | loss: 5.243848 | lrm: 0.99 | dt: 259ms | tok/sec: 1,011,409 | mfu: 42.8% | epoch: 1 | remaining: 296s    
step 00027 (1.4%) | loss: 5.194601 | lrm: 0.99 | dt: 258ms | tok/sec: 1,016,980 | mfu: 43.0% | epoch: 1 | remaining: 296s    
step 00028 (1.5%) | loss: 5.146811 | lrm: 0.99 | dt: 263ms | tok/sec: 994,975 | mfu: 42.1% | epoch: 1 | remaining: 295s    
step 00029 (1.6%) | loss: 5.100803 | lrm: 0.98 | dt: 257ms | tok/sec: 1,019,323 | mfu: 43.1% | epoch: 1 | remaining: 295s    
step 00030 (1.6%) | loss: 5.051610 | lrm: 0.98 | dt: 261ms | tok/sec: 1,005,613 | mfu: 42.6% | epoch: 1 | remaining: 295s    
step 00031 (1.7%) | loss: 5.006050 | lrm: 0.98 | dt: 258ms | tok/sec: 1,016,690 | mfu: 43.0% | epoch: 1 | remaining: 295s    
step 00032 (1.8%) | loss: 4.962942 | lrm: 0.98 | dt: 259ms | tok/sec: 1,011,914 | mfu: 42.8% | epoch: 1 | remaining: 294s    
step 00033 (1.9%) | loss: 4.920688 | lrm: 0.98 | dt: 262ms | tok/sec: 998,679 | mfu: 42.3% | epoch: 1 | remaining: 294s    
step 00034 (2.0%) | loss: 4.878286 | lrm: 0.98 | dt: 258ms | tok/sec: 1,017,849 | mfu: 43.1% | epoch: 1 | remaining: 294s    
step 00035 (2.1%) | loss: 4.837572 | lrm: 0.98 | dt: 260ms | tok/sec: 1,008,322 | mfu: 42.7% | epoch: 1 | remaining: 294s    
step 00036 (2.2%) | loss: 4.796591 | lrm: 0.98 | dt: 262ms | tok/sec: 1,000,507 | mfu: 42.3% | epoch: 1 | remaining: 293s    
step 00037 (2.3%) | loss: 4.759834 | lrm: 0.98 | dt: 260ms | tok/sec: 1,009,767 | mfu: 42.7% | epoch: 1 | remaining: 293s    
step 00038 (2.3%) | loss: 4.720134 | lrm: 0.98 | dt: 259ms | tok/sec: 1,010,637 | mfu: 42.8% | epoch: 1 | remaining: 293s    
step 00039 (2.4%) | loss: 4.680184 | lrm: 0.98 | dt: 258ms | tok/sec: 1,015,441 | mfu: 43.0% | epoch: 1 | remaining: 292s    
step 00040 (2.5%) | loss: 4.643035 | lrm: 0.98 | dt: 262ms | tok/sec: 1,001,829 | mfu: 42.4% | epoch: 1 | remaining: 292s    
step 00041 (2.6%) | loss: 4.604378 | lrm: 0.97 | dt: 260ms | tok/sec: 1,006,501 | mfu: 42.6% | epoch: 1 | remaining: 292s    
step 00042 (2.7%) | loss: 4.570908 | lrm: 0.97 | dt: 259ms | tok/sec: 1,011,999 | mfu: 42.8% | epoch: 1 | remaining: 292s    
step 00043 (2.8%) | loss: 4.532648 | lrm: 0.97 | dt: 260ms | tok/sec: 1,009,659 | mfu: 42.7% | epoch: 1 | remaining: 291s    
step 00044 (2.9%) | loss: 4.496681 | lrm: 0.97 | dt: 261ms | tok/sec: 1,006,291 | mfu: 42.6% | epoch: 1 | remaining: 291s    
step 00045 (2.9%) | loss: 4.463750 | lrm: 0.97 | dt: 259ms | tok/sec: 1,013,139 | mfu: 42.9% | epoch: 1 | remaining: 291s    
step 00046 (3.0%) | loss: 4.428322 | lrm: 0.97 | dt: 262ms | tok/sec: 1,001,644 | mfu: 42.4% | epoch: 1 | remaining: 291s    
step 00047 (3.1%) | loss: 4.393354 | lrm: 0.97 | dt: 260ms | tok/sec: 1,007,618 | mfu: 42.6% | epoch: 1 | remaining: 290s    
step 00048 (3.2%) | loss: 4.361098 | lrm: 0.97 | dt: 260ms | tok/sec: 1,010,021 | mfu: 42.7% | epoch: 1 | remaining: 290s    
step 00049 (3.3%) | loss: 4.328402 | lrm: 0.97 | dt: 259ms | tok/sec: 1,012,910 | mfu: 42.9% | epoch: 1 | remaining: 290s    
step 00050 (3.4%) | loss: 4.303581 | lrm: 0.97 | dt: 260ms | tok/sec: 1,007,783 | mfu: 42.7% | epoch: 1 | remaining: 290s    
step 00051 (3.5%) | loss: 4.272155 | lrm: 0.97 | dt: 259ms | tok/sec: 1,012,258 | mfu: 42.8% | epoch: 1 | remaining: 289s    
step 00052 (3.6%) | loss: 4.245884 | lrm: 0.96 | dt: 259ms | tok/sec: 1,013,046 | mfu: 42.9% | epoch: 1 | remaining: 289s    
step 00053 (3.6%) | loss: 4.219561 | lrm: 0.96 | dt: 263ms | tok/sec: 996,608 | mfu: 42.2% | epoch: 1 | remaining: 289s    
step 00054 (3.7%) | loss: 4.188229 | lrm: 0.96 | dt: 258ms | tok/sec: 1,017,173 | mfu: 43.0% | epoch: 1 | remaining: 289s    
step 00055 (3.8%) | loss: 4.165674 | lrm: 0.96 | dt: 261ms | tok/sec: 1,005,365 | mfu: 42.5% | epoch: 1 | remaining: 288s    
step 00056 (3.9%) | loss: 4.145857 | lrm: 0.96 | dt: 256ms | tok/sec: 1,022,439 | mfu: 43.3% | epoch: 1 | remaining: 288s    
step 00057 (4.0%) | loss: 4.121766 | lrm: 0.96 | dt: 260ms | tok/sec: 1,008,012 | mfu: 42.7% | epoch: 1 | remaining: 288s    
step 00058 (4.1%) | loss: 4.100105 | lrm: 0.96 | dt: 263ms | tok/sec: 997,830 | mfu: 42.2% | epoch: 1 | remaining: 288s    
step 00059 (4.2%) | loss: 4.080376 | lrm: 0.96 | dt: 259ms | tok/sec: 1,013,181 | mfu: 42.9% | epoch: 1 | remaining: 287s    
step 00060 (4.2%) | loss: 4.060847 | lrm: 0.96 | dt: 259ms | tok/sec: 1,013,736 | mfu: 42.9% | epoch: 1 | remaining: 287s    
step 00061 (4.3%) | loss: 4.038926 | lrm: 0.96 | dt: 259ms | tok/sec: 1,012,052 | mfu: 42.8% | epoch: 1 | remaining: 287s    
step 00062 (4.4%) | loss: 4.018991 | lrm: 0.96 | dt: 262ms | tok/sec: 999,355 | mfu: 42.3% | epoch: 1 | remaining: 286s    
step 00063 (4.5%) | loss: 4.001078 | lrm: 0.96 | dt: 260ms | tok/sec: 1,009,301 | mfu: 42.7% | epoch: 1 | remaining: 286s    
step 00064 (4.6%) | loss: 3.982827 | lrm: 0.95 | dt: 259ms | tok/sec: 1,011,739 | mfu: 42.8% | epoch: 1 | remaining: 286s    
step 00065 (4.7%) | loss: 3.961578 | lrm: 0.95 | dt: 261ms | tok/sec: 1,004,084 | mfu: 42.5% | epoch: 1 | remaining: 286s    
step 00066 (4.8%) | loss: 3.948451 | lrm: 0.95 | dt: 259ms | tok/sec: 1,010,978 | mfu: 42.8% | epoch: 1 | remaining: 285s    
step 00067 (4.8%) | loss: 3.933164 | lrm: 0.95 | dt: 261ms | tok/sec: 1,004,452 | mfu: 42.5% | epoch: 1 | remaining: 285s    
